Username,Password,User Type,Name,Email
jaren,null,admin,Jaren1,jaren1@smu.edu.sg
volunteer,null,volunteer,John Doe,johndoe@someemail.com
louis,12345,admin,louis,louis@email.com
shirong,password2,admin,Shirong Ng,sr@gmail.com
admin,password1,admin,admin,admin5@email
renci,password1,beneficiary,Ren Ci,renci@gmail.com
tcs,password1,beneficiary,Taste Community Services,rcs@gmail.com
keiwen,password,admin,Kei Wen,kwtam@smu.sg
bengan,password1,admin,bengan,bengan@smu.edu.sg
Bene1,pass2000,beneficiary,Bene1,bene1@gmail.com
Bene2,pass2000,beneficiary,Bene2,bene2@gmail.com
tester,test,beneficiary,TESTER,test@gmail.com
inputBene,test,beneficiary,inputBene,test@gmail.com
bene3,password1,beneficiary,Beneficiary Three,bene3@email.com
bene4,password1,beneficiary,Bene4,bene4@hotmail.com
beneficiary,password1,beneficiary,beneficiary,beneficiary@email.com
